epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
36,869.527,1.09046,1.93023,0.49125,0.56818,0.0277,16.2471,0.95819,0.95238,0.9828,0.73656,0.91898,0.91429,0.94722,0.10919,1.01677,4.09972,0.58751,0.45351,0.0423,0,0.008845,0.008845,0.008845
37,894.336,1.10384,1.90257,0.48526,0.57828,0.02826,16.1719,0.95571,0.93333,0.97713,0.6742,0.90603,0.88571,0.90241,0.10585,1.1616,3.99911,0.59393,0.51007,0.05207,0,0.008812,0.008812,0.008812
38,918.043,1.12506,1.94815,0.47516,0.54831,0.02844,16.1418,0.89417,0.88571,0.95346,0.68987,0.88455,0.87619,0.94435,0.12082,1.0721,3.81866,0.57952,0.561,0.0455,0,0.008779,0.008779,0.008779
39,941.541,1.09944,1.97482,0.48567,0.54363,0.02883,16.2984,0.90894,0.95063,0.96886,0.75151,0.88429,0.87346,0.91435,0.11388,0.9264,3.92402,0.61452,0.44819,0.0389,0,0.008746,0.008746,0.008746
40,965.244,1.09613,1.94063,0.48081,0.55561,0.0282,16.1091,0.9737,0.91429,0.97011,0.72562,0.9737,0.91429,0.97011,0.11459,1.03246,4.00264,0.58689,0.48104,0.04327,0,0.008713,0.008713,0.008713
41,989.031,1.08122,1.98726,0.47854,0.59017,0.02793,16.2638,0.94045,0.90246,0.97239,0.72948,0.92161,0.84762,0.92948,0.10529,1.04718,4.12029,0.46677,0.45093,0.04465,0,0.00868,0.00868,0.00868
42,1011.48,1.1286,1.93032,0.47786,0.54871,0.02875,15.896,0.90346,0.89132,0.95444,0.74503,0.90346,0.89132,0.95444,0.11622,0.90569,3.87907,0.50992,0.52775,0.03793,0,0.008647,0.008647,0.008647
43,1035.01,1.07862,1.92485,0.46323,0.54884,0.02752,15.7978,0.94761,0.86127,0.94865,0.74738,0.9374,0.85574,0.93526,0.10369,0.8789,4.09101,0.51743,0.61052,0.03693,0,0.008614,0.008614,0.008614
44,1058.59,1.06899,1.93991,0.4674,0.51704,0.02721,15.7875,0.9572,0.91429,0.98056,0.70371,0.91687,0.87619,0.90999,0.10707,1.07376,4.01864,0.52688,0.52487,0.04734,0,0.008581,0.008581,0.008581
45,1081.98,1.07497,1.86274,0.47502,0.54023,0.02735,15.2178,0.89574,0.94286,0.96243,0.74514,0.88646,0.93333,0.95514,0.112,0.92573,4.03744,0.44743,0.54276,0.0393,0,0.008548,0.008548,0.008548
